team;transfermarkt_id;shirt_number;player_name;position;birth_date;age;club;height_cm;foot;international_caps;international_goals;debut_date;market_value;transfermarkt_url
Sudafrica;353432;6;Aubrey Modiba;Terzino sinistro;22/07/1995;30;Mamelodi Sundowns FC;1,71m;sinistro;41;1;02/09/2016;1,80 mln €;https://www.transfermarkt.com/aubrey-modiba/profil/spieler/353432
Sudafrica;673381;7;Oswin Appollis;Ala sinistra;25/08/2001;24;Orlando Pirates;1,71m;destro;26;8;21/11/2023;2,50 mln €;https://www.transfermarkt.com/oswin-appollis/profil/spieler/673381
Sudafrica;844485;8;Tshepang Moremi;Ala sinistra;02/10/2000;25;Orlando Pirates;1,69m;sinistro;10;1;06/06/2025;1,40 mln €;https://www.transfermarkt.com/tshepang-moremi/profil/spieler/844485
Sudafrica;467623;9;Lyle Foster;Punta centrale;03/09/2000;25;FC Burnley;1,85m;destro;27;10;08/10/2020;8,00 mln €;https://www.transfermarkt.com/lyle-foster/profil/spieler/467623
Sudafrica;1125037;10;Relebohile Mofokeng;Ala sinistra;23/10/2004;21;Orlando Pirates;1,68m;destro;13;-;11/06/2024;3,00 mln €;https://www.transfermarkt.com/relebohile-mofokeng/profil/spieler/1125037
Sudafrica;176578;11;Themba Zwane;Trequartista;03/08/1989;36;Mamelodi Sundowns FC;1,78m;destro;54;12;26/05/2014;250 mila €;https://www.transfermarkt.com/themba-zwane/profil/spieler/176578
Sudafrica;983330;12;Thapelo Maseko;Ala sinistra;11/11/2003;22;AEL Limassol;1,78m;sinistro;7;1;16/01/2024;750 mila €;https://www.transfermarkt.com/thapelo-maseko/profil/spieler/983330
Sudafrica;401736;13;Yaya Sithole;Centrocampista;03/03/1999;27;CD Tondela;1,97m;destro;28;1;09/06/2022;600 mila €;https://www.transfermarkt.com/yaya-sithole/profil/spieler/401736
Sudafrica;1378320;14;Mbekezeli Mbokazi;Difensore centrale;19/09/2005;20;Chicago Fire FC;1,77m;sinistro;10;1;10/06/2025;3,50 mln €;https://www.transfermarkt.com/mbekezeli-mbokazi/profil/spieler/1378320
Sudafrica;337884;15;Iqraam Rayners;Punta centrale;19/12/1995;30;Mamelodi Sundowns FC;1,74m;destro;14;4;21/03/2024;2,80 mln €;https://www.transfermarkt.com/iqraam-rayners/profil/spieler/337884
